000001	 -0.2660987251	 -0.7639785818	  0.5878164638	 -2.8123980539
002088	 -0.0507490367	 -0.7775483266	  0.6267719961	 -3.0966040793
004489	 -0.7760633357	 -0.5017371055	  0.3820805882	 -1.9884568613
007452	 -0.6673521542	 -0.6090430737	  0.4286112885	 -2.1183739713
010208	 -0.2487390037	 -0.7696153506	  0.5880655747	 -2.7690606115
012266	 -0.7422368390	 -0.5364521970	  0.4016260887	 -2.0979440425
014997	 -0.9349847208	 -0.2959948715	  0.1954241745	 -1.8617694361
017626	 -0.7854778380	 -0.4853972373	  0.3839454233	 -2.0931831827
019790	 -0.8393480134	  0.4315372587	 -0.3305608972	 -2.0273036924
021509	 -0.7718529855	  0.5003693278	 -0.3922671341	 -2.1198148506
023803	 -0.8223358220	  0.4673165006	 -0.3246214475	 -1.9893378254
026634	 -0.6528597818	  0.5955855213	 -0.4680299052	 -2.1741668703
028569	 -0.9690152297	  0.2157615243	 -0.1202349753	 -1.8693406343
031335	 -0.9260961927	  0.2921007188	 -0.2387949159	 -1.9301830862
033807	 -0.9327593509	  0.2845450428	 -0.2213461362	 -1.9550566857
036017	 -0.7826260858	  0.5083388491	 -0.3592882189	 -2.0300441790
038796	 -0.3584617816	  0.7244092162	 -0.5888433057	 -2.5755421228
041318	 -0.0683062993	  0.7934226745	 -0.6048261808	 -3.0722075120
043419	  0.0482321002	 -0.8101934759	  0.5841747993	 -3.1278457674
045113	 -0.1705863233	 -0.7831705529	  0.5979499907	 -2.8120694776
046681	 -0.7924505050	  0.4763782088	 -0.3809015612	 -2.1075271306
048124	 -0.8524869531	  0.4287099760	 -0.2991216329	 -1.9848406514
048978	 -0.7209064172	  0.4824645006	 -0.4975157719	 -2.2494097401
